Vbat ,Vbias30b:p (temp=-4.00e+01) (A),Vbias30b:p (temp=-3.50e+01) (A),Vbias30b:p (temp=-3.00e+01) (A),Vbias30b:p (temp=-2.50e+01) (A),Vbias30b:p (temp=-2.00e+01) (A),Vbias30b:p (temp=-1.50e+01) (A),Vbias30b:p (temp=-1.00e+01) (A),Vbias30b:p (temp=-5.00e+00) (A),Vbias30b:p (temp=0.00e+00) (A),Vbias30b:p (temp=5.00e+00) (A),Vbias30b:p (temp=1.00e+01) (A),Vbias30b:p (temp=1.50e+01) (A),Vbias30b:p (temp=2.00e+01) (A),Vbias30b:p (temp=2.50e+01) (A),Vbias30b:p (temp=3.00e+01) (A),Vbias30b:p (temp=3.50e+01) (A),Vbias30b:p (temp=4.00e+01) (A),Vbias30b:p (temp=4.50e+01) (A),Vbias30b:p (temp=5.00e+01) (A),Vbias30b:p (temp=5.50e+01) (A),Vbias30b:p (temp=6.00e+01) (A),Vbias30b:p (temp=6.50e+01) (A),Vbias30b:p (temp=7.00e+01) (A),Vbias30b:p (temp=7.50e+01) (A),Vbias30b:p (temp=8.00e+01) (A),Vbias30b:p (temp=8.50e+01) (A)
900.0E-3,-31.50E-6,-31.38E-6,-31.24E-6,-31.09E-6,-30.92E-6,-30.74E-6,-30.55E-6,-30.35E-6,-30.15E-6,-29.94E-6,-29.72E-6,-29.50E-6,-29.28E-6,-29.05E-6,-28.83E-6,-28.60E-6,-28.37E-6,-28.14E-6,-27.91E-6,-27.68E-6,-27.45E-6,-27.23E-6,-27.00E-6,-26.78E-6,-26.55E-6,-26.33E-6
950.0E-3,-33.38E-6,-33.25E-6,-33.10E-6,-32.94E-6,-32.76E-6,-32.57E-6,-32.37E-6,-32.16E-6,-31.95E-6,-31.72E-6,-31.50E-6,-31.27E-6,-31.03E-6,-30.79E-6,-30.55E-6,-30.31E-6,-30.07E-6,-29.83E-6,-29.59E-6,-29.34E-6,-29.10E-6,-28.86E-6,-28.63E-6,-28.39E-6,-28.16E-6,-27.92E-6
1.000,-35.21E-6,-35.08E-6,-34.92E-6,-34.75E-6,-34.56E-6,-34.36E-6,-34.15E-6,-33.93E-6,-33.71E-6,-33.47E-6,-33.23E-6,-32.99E-6,-32.74E-6,-32.50E-6,-32.24E-6,-31.99E-6,-31.74E-6,-31.48E-6,-31.23E-6,-30.98E-6,-30.72E-6,-30.47E-6,-30.22E-6,-29.97E-6,-29.73E-6,-29.48E-6
1.050,-37.01E-6,-36.87E-6,-36.70E-6,-36.52E-6,-36.33E-6,-36.12E-6,-35.90E-6,-35.67E-6,-35.43E-6,-35.19E-6,-34.94E-6,-34.68E-6,-34.43E-6,-34.17E-6,-33.90E-6,-33.64E-6,-33.38E-6,-33.11E-6,-32.84E-6,-32.58E-6,-32.32E-6,-32.05E-6,-31.79E-6,-31.53E-6,-31.27E-6,-31.02E-6
1.100,-38.78E-6,-38.62E-6,-38.45E-6,-38.26E-6,-38.06E-6,-37.84E-6,-37.61E-6,-37.37E-6,-37.12E-6,-36.87E-6,-36.61E-6,-36.35E-6,-36.08E-6,-35.81E-6,-35.53E-6,-35.26E-6,-34.98E-6,-34.71E-6,-34.43E-6,-34.15E-6,-33.88E-6,-33.61E-6,-33.33E-6,-33.06E-6,-32.79E-6,-32.53E-6
1.150,-40.51E-6,-40.35E-6,-40.17E-6,-39.97E-6,-39.76E-6,-39.53E-6,-39.29E-6,-39.04E-6,-38.78E-6,-38.52E-6,-38.25E-6,-37.98E-6,-37.70E-6,-37.42E-6,-37.14E-6,-36.85E-6,-36.56E-6,-36.28E-6,-35.99E-6,-35.70E-6,-35.42E-6,-35.13E-6,-34.85E-6,-34.57E-6,-34.29E-6,-34.01E-6
1.200,-42.21E-6,-42.04E-6,-41.85E-6,-41.65E-6,-41.42E-6,-41.19E-6,-40.94E-6,-40.68E-6,-40.42E-6,-40.14E-6,-39.87E-6,-39.58E-6,-39.29E-6,-39.00E-6,-38.71E-6,-38.41E-6,-38.12E-6,-37.82E-6,-37.52E-6,-37.23E-6,-36.93E-6,-36.64E-6,-36.34E-6,-36.05E-6,-35.76E-6,-35.47E-6
1.250,-43.88E-6,-43.71E-6,-43.51E-6,-43.30E-6,-43.07E-6,-42.82E-6,-42.57E-6,-42.30E-6,-42.02E-6,-41.74E-6,-41.45E-6,-41.16E-6,-40.86E-6,-40.56E-6,-40.26E-6,-39.96E-6,-39.65E-6,-39.34E-6,-39.04E-6,-38.73E-6,-38.42E-6,-38.12E-6,-37.81E-6,-37.51E-6,-37.21E-6,-36.92E-6
1.300,-45.53E-6,-45.35E-6,-45.14E-6,-44.92E-6,-44.68E-6,-44.43E-6,-44.16E-6,-43.89E-6,-43.61E-6,-43.31E-6,-43.02E-6,-42.72E-6,-42.41E-6,-42.10E-6,-41.79E-6,-41.47E-6,-41.16E-6,-40.84E-6,-40.52E-6,-40.21E-6,-39.89E-6,-39.58E-6,-39.27E-6,-38.95E-6,-38.64E-6,-38.34E-6
1.350,-47.15E-6,-46.96E-6,-46.75E-6,-46.52E-6,-46.27E-6,-46.01E-6,-45.74E-6,-45.46E-6,-45.16E-6,-44.86E-6,-44.56E-6,-44.25E-6,-43.93E-6,-43.61E-6,-43.29E-6,-42.97E-6,-42.64E-6,-42.32E-6,-41.99E-6,-41.67E-6,-41.34E-6,-41.02E-6,-40.70E-6,-40.37E-6,-40.06E-6,-39.74E-6
1.400,-48.75E-6,-48.55E-6,-48.33E-6,-48.10E-6,-47.84E-6,-47.57E-6,-47.29E-6,-47.00E-6,-46.70E-6,-46.39E-6,-46.08E-6,-45.76E-6,-45.43E-6,-45.11E-6,-44.78E-6,-44.44E-6,-44.11E-6,-43.77E-6,-43.44E-6,-43.11E-6,-42.77E-6,-42.44E-6,-42.11E-6,-41.78E-6,-41.45E-6,-41.12E-6
1.450,-50.32E-6,-50.12E-6,-49.89E-6,-49.65E-6,-49.39E-6,-49.11E-6,-48.82E-6,-48.52E-6,-48.21E-6,-47.90E-6,-47.57E-6,-47.25E-6,-46.91E-6,-46.58E-6,-46.24E-6,-45.90E-6,-45.56E-6,-45.21E-6,-44.87E-6,-44.53E-6,-44.18E-6,-43.84E-6,-43.50E-6,-43.16E-6,-42.83E-6,-42.49E-6
1.500,-51.88E-6,-51.67E-6,-51.43E-6,-51.18E-6,-50.91E-6,-50.63E-6,-50.33E-6,-50.02E-6,-49.71E-6,-49.38E-6,-49.05E-6,-48.72E-6,-48.38E-6,-48.03E-6,-47.68E-6,-47.33E-6,-46.98E-6,-46.63E-6,-46.28E-6,-45.93E-6,-45.58E-6,-45.23E-6,-44.88E-6,-44.53E-6,-44.19E-6,-43.84E-6
1.550,-53.41E-6,-53.20E-6,-52.95E-6,-52.69E-6,-52.42E-6,-52.13E-6,-51.82E-6,-51.51E-6,-51.18E-6,-50.85E-6,-50.51E-6,-50.17E-6,-49.82E-6,-49.47E-6,-49.11E-6,-48.75E-6,-48.40E-6,-48.04E-6,-47.68E-6,-47.32E-6,-46.96E-6,-46.60E-6,-46.24E-6,-45.88E-6,-45.53E-6,-45.18E-6
1.600,-54.93E-6,-54.70E-6,-54.46E-6,-54.19E-6,-53.90E-6,-53.61E-6,-53.29E-6,-52.97E-6,-52.64E-6,-52.30E-6,-51.95E-6,-51.60E-6,-51.25E-6,-50.89E-6,-50.52E-6,-50.16E-6,-49.79E-6,-49.42E-6,-49.05E-6,-48.69E-6,-48.32E-6,-47.95E-6,-47.59E-6,-47.22E-6,-46.86E-6,-46.50E-6
